user_id,user_name,gender,city,signup_date
U000001,Angel Hill,Other,New Roberttown,13-03-2025
U000002,Jesse Guzman,Male,South Bridget,05-03-2024
U000003,Adam Shaffer,Male,Curtisfurt,07-07-2025
U000004,Melanie Munoz,Other,New Kellystad,07-03-2024
U000005,Janet Williams,Female,South Joshuastad,29-01-2025
U000006,Michael Santiago,Male,East Steven,21-04-2024
U000007,Sara Watts,Male,Port Antonio,03-07-2024
U000008,Joseph Clark,Male,Thomasberg,03-08-2024
U000009,Anna Baker,Other,East William,17-06-2024
U000010,Brandon Rodriguez,Male,Jamesmouth,03-03-2024
U000011,Tasha Valencia,Other,Kaylamouth,27-12-2024
U000012,Ryan Chavez,Other,Meaganhaven,17-03-2024
U000013,Eric Farmer,Other,Natashaport,20-02-2025
U000014,John Bradley,Male,East Donna,12-06-2024
U000015,Frederick Rose,Other,Lake Larry,09-10-2025
U000016,Debra Kim,Female,Andrewside,11-11-2025
U000017,Jeffrey Jones,Male,New Johnfort,06-06-2024
U000018,David Walls,Male,North Collin,26-05-2024
U000019,Rodney Owens,Male,South Jessicaville,21-10-2024
U000020,James West,Male,South Lindseyside,19-06-2024
U000021,Denise Fernandez,Male,South Todd,07-03-2024
U000022,Richard Brown,Other,Mitchellside,26-05-2024
U000023,Tommy Lee,Other,Lake Leeton,28-03-2025
U000024,Wesley Farrell,Male,New Carlosbury,03-02-2025
U000025,Shelly Hudson,Other,Sarahborough,03-10-2024
U000026,Leon Baker,Male,North Stephenshire,03-04-2025
U000027,Charles Lewis,Other,Justinmouth,12-11-2025
U000028,Jade Carr,Other,East Josephville,24-07-2025
U000029,Eric Campbell,Other,Williamview,22-05-2025
U000030,Meghan Davis,Other,Kellieview,11-09-2025
U000031,Scott Thornton,Female,New Barry,20-04-2024
U000032,Angela Jordan,Male,Jasonbury,09-09-2024
U000033,Michael Castro,Female,Port Francisco,01-04-2025
U000034,Gregory Gutierrez,Other,West Erik,01-07-2025
U000035,Patrick Williams,Female,Loribury,24-04-2025
U000036,Donna Ross,Male,Frazierside,01-06-2024
U000037,Anthony Wiley,Male,Reedmouth,14-08-2024
U000038,Tracey Wilson,Other,West Ryan,25-10-2024
U000039,Samantha Hanson,Female,Nguyenport,11-10-2025
U000040,James Ortega,Female,Richardtown,14-01-2025
U000041,Jason Floyd,Female,Leonburgh,26-07-2024
